"Number of Cells"	"Cells with Lipid"	"WellName"	"% Cells with Lipid"	"chemical"	"chemicalgroup"
11878	5835	"A1"	0.491244317225122	"0.01 BPS-MPE"	"BPS-MPE"
13135	5590	"A10"	0.425580510087552	"0.01  P201"	" P201"
11923	2133	"A11"	0.178897928373731	"MI"	"MI"
11702	503	"A2"	0.0429841052811485	"0.1 BPS-MPE"	"BPS-MPE"
14193	6569	"A3"	0.462833791305573	"1 BPS-MPE"	"BPS-MPE"
16583	9090	"A4"	0.548151721642646	"10 BPS-MPE"	"BPS-MPE"
16920	10187	"A5"	0.602068557919622	"20 BPS-MPE"	"BPS-MPE"
12362	1872	"A6"	0.151431807150946	"20  P201"	" P201"
11792	583	"A7"	0.0494402985074627	"10  P201"	" P201"
11495	500	"A8"	0.0434971726837756	"1  P201"	" P201"
12231	3601	"A9"	0.294415828632164	"0.1  P201"	" P201"
12490	1333	"B1"	0.106725380304243	"0.01 BPS-MPE"	"BPS-MPE"
11720	1843	"B10"	0.157252559726962	"0.01  P201"	" P201"
12000	1357	"B11"	0.113083333333333	"MI"	"MI"
12139	1016	"B2"	0.083697174396573	"0.1 BPS-MPE"	"BPS-MPE"
14169	4124	"B3"	0.291057943397558	"1 BPS-MPE"	"BPS-MPE"
16318	7629	"B4"	0.467520529476652	"10 BPS-MPE"	"BPS-MPE"
16877	9212	"B5"	0.545831605143094	"20 BPS-MPE"	"BPS-MPE"
12467	1746	"B6"	0.140049731290607	"20  P201"	" P201"
11979	1594	"B7"	0.133066199181902	"10  P201"	" P201"
11896	1015	"B8"	0.0853227975790182	"1  P201"	" P201"
12315	1938	"B9"	0.157369062119367	"0.1  P201"	" P201"
11815	845	"C1"	0.071519255184088	"0.01 BPS-MPE"	"BPS-MPE"
11972	1690	"C10"	0.141162712996993	"0.01  P201"	" P201"
11483	546	"C11"	0.0475485500304798	"MI"	"MI"
12005	971	"C2"	0.0808829654310704	"0.1 BPS-MPE"	"BPS-MPE"
14955	3948	"C3"	0.263991975927783	"1 BPS-MPE"	"BPS-MPE"
16729	8413	"C4"	0.502899157152251	"10 BPS-MPE"	"BPS-MPE"
16758	9614	"C5"	0.573696145124717	"20 BPS-MPE"	"BPS-MPE"
12876	3348	"C6"	0.260018639328984	"20  P201"	" P201"
12229	1424	"C7"	0.116444517131409	"10  P201"	" P201"
12410	996	"C8"	0.0802578565672844	"1  P201"	" P201"
12385	1103	"C9"	0.089059345983044	"0.1  P201"	" P201"
11690	1182	"D1"	0.101112061591104	"0.01 BPS-MPE"	"BPS-MPE"
12455	2307	"D10"	0.185226816539542	"0.01  P201"	" P201"
12359	818	"D11"	0.0661865846751355	"MI"	"MI"
12207	1356	"D2"	0.111083804374539	"0.1 BPS-MPE"	"BPS-MPE"
14177	6933	"D3"	0.489031529942865	"1 BPS-MPE"	"BPS-MPE"
16563	7643	"D4"	0.461450220370706	"10 BPS-MPE"	"BPS-MPE"
17068	9950	"D5"	0.582962268572768	"20 BPS-MPE"	"BPS-MPE"
13133	4102	"D6"	0.312342952866824	"20  P201"	" P201"
12078	1418	"D7"	0.117403543633052	"10  P201"	" P201"
12543	1526	"D8"	0.121661484493343	"1  P201"	" P201"
13191	1948	"D9"	0.147676446061709	"0.1  P201"	" P201"
11621	3924	"E1"	0.337664572756217	"0.01 BPS-MAE"	"BPS-MAE"
13416	5582	"E10"	0.416070363744782	"0.01 D90"	"D90"
11468	885	"E2"	0.0771712591559121	"0.1 BPS-MAE"	"BPS-MAE"
13636	3583	"E3"	0.262760340275741	"1 BPS-MAE"	"BPS-MAE"
14675	7134	"E4"	0.486132879045997	"10 BPS-MAE"	"BPS-MAE"
16158	8504	"E5"	0.526302760242604	"20 BPS-MAE"	"BPS-MAE"
12973	2010	"E6"	0.154937177214214	"20 D90"	"D90"
12451	6459	"E7"	0.518753513773994	"10 D90"	"D90"
12400	1560	"E8"	0.125806451612903	"1 D90"	"D90"
13137	2123	"E9"	0.161604628149501	"0.1 D90"	"D90"
11981	404	"F1"	0.0337200567565312	"0.01 BPS-MAE"	"BPS-MAE"
13493	4528	"F10"	0.335581412584303	"0.01 D90"	"D90"
12276	2032	"F2"	0.165526230042359	"0.1 BPS-MAE"	"BPS-MAE"
13725	5090	"F3"	0.370856102003643	"1 BPS-MAE"	"BPS-MAE"
14985	6977	"F4"	0.465598932265599	"10 BPS-MAE"	"BPS-MAE"
16087	8602	"F5"	0.534717473736557	"20 BPS-MAE"	"BPS-MAE"
12741	2235	"F6"	0.17541794207676	"20 D90"	"D90"
12447	3045	"F7"	0.244637261990841	"10 D90"	"D90"
12193	1483	"F8"	0.121627163126384	"1 D90"	"D90"
14759	5162	"F9"	0.349752693271902	"0.1 D90"	"D90"
12682	1512	"G1"	0.119224097145561	"0.01 BPS-MAE"	"BPS-MAE"
14592	6034	"G10"	0.413514254385965	"0.01 D90"	"D90"
11766	1689	"G2"	0.143549209586945	"0.1 BPS-MAE"	"BPS-MAE"
13794	3741	"G3"	0.271204871683341	"1 BPS-MAE"	"BPS-MAE"
14422	5816	"G4"	0.403272777700735	"10 BPS-MAE"	"BPS-MAE"
16829	8183	"G5"	0.486243983599739	"20 BPS-MAE"	"BPS-MAE"
13723	3644	"G6"	0.265539605042629	"20 D90"	"D90"
12456	2488	"G7"	0.199743095696853	"10 D90"	"D90"
12372	1386	"G8"	0.112027158098933	"1 D90"	"D90"
15273	3948	"G9"	0.258495384011	"0.1 D90"	"D90"
12748	1372	"H1"	0.107624725447129	"0.01 BPS-MAE"	"BPS-MAE"
13552	3030	"H10"	0.223583234946871	"0.01 D90"	"D90"
11549	1676	"H2"	0.14512078967876	"0.1 BPS-MAE"	"BPS-MAE"
15368	8087	"H3"	0.526223321186882	"1 BPS-MAE"	"BPS-MAE"
