,1,2,3,4,5,6,7,8,9,10,11,12
A,0.01 BPS-MPE,0.1 BPS-MPE,1 BPS-MPE,10 BPS-MPE,20 BPS-MPE,20  P201,10  P201,1  P201,0.1  P201,0.01  P201,MIE,
B,0.01 BPS-MPE,0.1 BPS-MPE,1 BPS-MPE,10 BPS-MPE,20 BPS-MPE,20  P201,10  P201,1  P201,0.1  P201,0.01  P201,MIE,
C,0.01 BPS-MPE,0.1 BPS-MPE,1 BPS-MPE,10 BPS-MPE,20 BPS-MPE,20  P201,10  P201,1  P201,0.1  P201,0.01  P201,MIE,
D,0.01 BPS-MPE,0.1 BPS-MPE,1 BPS-MPE,10 BPS-MPE,20 BPS-MPE,20  P201,10  P201,1  P201,0.1  P201,0.01  P201,MIE,
E,0.01 BPS-MAE,0.1 BPS-MAE,1 BPS-MAE,10 BPS-MAE,20 BPS-MAE,20 D90,10 D90,1 D90,0.1 D90,0.01 D90,MI,
F,0.01 BPS-MAE,0.1 BPS-MAE,1 BPS-MAE,10 BPS-MAE,20 BPS-MAE,20 D90,10 D90,1 D90,0.1 D90,0.01 D90,MI,
G,0.01 BPS-MAE,0.1 BPS-MAE,1 BPS-MAE,10 BPS-MAE,20 BPS-MAE,20 D90,10 D90,1 D90,0.1 D90,0.01 D90,MI,
H,0.01 BPS-MAE,0.1 BPS-MAE,1 BPS-MAE,10 BPS-MAE,20 BPS-MAE,20 D90,10 D90,1 D90,0.1 D90,0.01 D90,MI,
